Time Left,Rounded Units Left,Bid Ask Spread,Volume Misbalance,Action,Reward,Volume
6,5,1,0,0,-0.24921687059760128,100
7,4,0,0,0,-0.2786383067098181,100
8,3,0,0,0,no trade ,0
9,3,0,1,0,-0.3167131063844516,100
10,2,1,2,0,-0.32280507433239297,278
0,10,1,2,0,-0.33660710422705836,100
1,9,1,2,0,-0.3573746376498074,100
2,8,1,3,10,no trade ,0
3,8,1,2,0,-0.348721498723662,200
4,6,0,2,0,-0.367758404361182,100
5,5,1,1,0,-0.3521827542941202,100
6,4,1,2,0,-0.36083589322026566,100
7,3,1,2,0,-0.36083589322026566,100
8,2,1,2,0,-0.3971790767100766,100
9,1,1,2,0,-0.41621598234759655,100
10,0,0,2,0,no trade ,0
0,10,1,2,0,-0.4542897936226366,100
1,9,1,2,0,-0.43179163241465846,100
2,8,0,2,0,-0.44217539912603293,100
3,7,0,2,0,-0.44563665469649116,100
4,6,0,1,0,-0.4525591658374076,300
5,3,1,2,0,no trade ,0
6,3,1,2,0,no trade ,0
7,3,0,2,0,-0.4439060269112621,95
8,2,1,3,2,-0.37549431056115606,205
9,0,1,2,0,no trade ,0
10,0,0,3,0,no trade ,0
0,10,1,2,0,-0.35393175780337316,80
1,9,0,3,0,-0.3314324284564595,100
2,8,1,1,0,-0.2864337697626321,10
3,8,0,1,0,-0.28989520504677263,1
4,8,1,1,0,-0.28989520504677263,200
5,6,1,1,0,no trade ,0
6,6,0,2,0,-0.2622037227736481,200
7,4,1,2,0,-0.2795108991943509,200
8,2,1,1,0,-0.2916259226888429,100
9,1,1,1,0,-0.3400860166668109,100
10,0,1,2,0,-0.31028305887036056,9
0,10,1,1,0,-0.3288164338992437,200
1,8,1,2,0,-0.3374694979492238,101
2,6,0,2,0,-0.35996746447917205,201
3,4,1,2,0,-0.39804094629908454,100
4,3,1,2,0,-0.3997715591090805,1
5,3,1,1,0,-0.3963103334890885,100
6,2,1,2,0,-0.39804094629908454,1
7,2,1,2,0,-0.36862052852915217,100
8,1,1,2,0,-0.35650623885918004,10
9,1,1,1,0,-0.3634286900991641,100
10,0,1,2,0,-0.3668899157191562,86
0,10,1,0,0,-0.40669401034906466,200
1,8,1,1,0,-0.4309225896890089,200
2,6,0,1,0,-0.47764913555890137,97
3,5,0,1,0,no trade ,0
4,5,1,2,0,-0.41361646158904863,100
5,4,1,2,0,-0.41361646158904863,100
6,3,1,0,0,-0.3772735925791323,100
7,2,2,2,1,-0.36515930290916015,203
8,0,1,1,0,no trade ,0
9,0,0,1,0,no trade ,0
10,0,1,1,0,no trade ,0
0,10,0,1,0,-0.44130626654898497,200
1,8,0,0,0,-0.4655348458889293,1
2,7,0,0,0,no trade ,0
3,7,1,2,0,-0.46726545869892533,392
4,4,1,2,0,-0.4880328124188775,81
5,3,0,2,0,-0.4914940380388696,2
6,3,0,2,0,-0.49668587646885765,181
7,1,1,1,0,-0.5053389405188377,143
8,0,1,1,0,no trade ,0
9,0,1,1,0,no trade ,0
10,0,0,1,0,no trade ,0
0,10,1,2,0,-0.49322465084886563,212
1,7,1,1,0,no trade ,0
2,7,0,2,0,-0.5157226173788139,100
3,6,1,1,0,-0.5070695533288337,25
4,6,0,1,0,-0.5191838429988059,200
5,4,1,0,0,-0.5209144558088019,8
6,4,2,1,1,-0.5348631950573698,230
7,2,1,0,0,-0.5607185504387104,25
8,2,0,1,0,-0.5832165169686586,100
9,1,1,1,0,-0.5572573248187184,100
10,0,1,2,0,no trade ,0
0,10,1,1,0,-0.5174532301888098,10
1,9,1,1,0,-0.5209144558088019,221
2,7,0,2,0,-0.5918695810186386,200
3,5,1,1,0,-0.617828773168579,111
4,4,1,1,0,-0.617828773168579,109
5,3,1,2,0,-0.6628247062284754,313
6,0,0,2,0,-0.6680165446584636,36
7,0,2,2,0,no trade ,0
8,0,1,3,0,no trade ,0
9,0,0,2,0,no trade ,0
10,0,0,2,0,no trade ,0
0,10,1,1,0,-0.7285879930083242,200
1,8,0,1,0,-0.7580084107782565,100
2,7,0,2,0,-0.7735839260682207,100
3,6,1,2,0,-0.7355104442483084,200
4,4,1,3,10,no trade ,0
5,4,1,2,0,-0.7701227004482287,400
6,0,1,2,0,no trade ,0
7,0,1,2,0,no trade ,0
8,0,1,2,0,no trade ,0
9,0,1,2,0,no trade ,0
10,0,1,0,0,no trade ,0
0,10,0,1,0,-0.7960818925981691,100
1,9,0,0,0,-0.8341553744180814,100
2,8,1,0,0,-0.8255023103681014,100
3,7,1,1,0,-0.8168492463181213,200
4,5,1,0,0,-0.8237716975581053,100
5,4,1,0,0,-0.8255023103681014,100
6,3,1,1,0,-0.8618451793780177,200
7,1,1,1,0,-0.8826125330979699,100
8,0,1,1,0,no trade ,0
9,0,1,0,0,no trade ,0
10,0,0,0,0,no trade ,0
0,10,0,0,0,-0.974335012027759,200
1,8,0,0,0,-0.9916411401277192,100
2,7,1,2,0,-0.9916411401277192,200
3,5,1,2,0,-0.9968329785577074,200
4,3,0,1,0,-1.0210615578976516,100
5,2,1,1,0,-1.0366370731876158,200
6,0,0,2,0,no trade ,0
7,0,0,2,0,no trade ,0
8,0,1,0,0,no trade ,0
9,0,2,0,0,no trade ,0
10,0,2,0,0,no trade ,0
0,10,1,0,0,-0.9899105273177232,100
