Time Left,Rounded Units Left,Bid Ask Spread,Volume Misbalance,Immediate Cost,Signed Transcation Volume,Action,Reward,Volume
0,0.0,5,3,9,4,5,no trade ,0
1,15.015015015015015,5,4,9,3,5,no trade ,0
2,15.015015015015015,0,2,9,4,0,-0.0034728251432540372,200
3,14.714714714714715,0,1,9,5,5,no trade ,0
4,14.714714714714715,5,2,9,6,0,-0.031255426289286334,1000
5,13.213213213213214,0,0,8,5,3,-0.03299183886091336,2706
6,9.15015015015015,0,2,8,4,5,no trade ,0
7,9.15015015015015,0,4,9,4,5,no trade ,0
8,9.15015015015015,5,5,9,5,5,no trade ,0
9,9.15015015015015,0,4,9,4,5,no trade ,0
10,9.15015015015015,0,3,9,4,5,no trade ,0
11,9.15015015015015,0,4,9,3,5,no trade ,0
12,9.15015015015015,0,4,9,5,5,no trade ,0
13,9.15015015015015,0,2,8,6,5,no trade ,0
14,9.15015015015015,0,2,9,5,0,-0.017364125716270183,700
15,8.0990990990991,0,3,9,4,5,0.01757249522486543,5394
0,0.0,0,3,8,6,5,no trade ,0
1,15.015015015015015,0,3,6,5,2,0.027806743135210286,3051
2,10.433933933933934,0,2,6,4,5,no trade ,0
3,10.433933933933934,0,0,5,3,0,0.0069516857838025714,100
4,10.283783783783784,0,1,4,4,5,no trade ,0
5,10.283783783783784,0,2,5,5,0,0.013903371567605143,500
6,9.533033033033034,0,4,7,3,5,no trade ,0
7,9.533033033033034,0,1,3,5,5,no trade ,0
8,9.533033033033034,5,0,0,5,3,-0.035731664928745216,2875
9,5.216216216216216,0,6,3,4,5,no trade ,0
10,5.216216216216216,0,3,4,4,5,no trade ,0
11,5.216216216216216,5,5,4,5,5,no trade ,0
12,5.216216216216216,0,3,3,4,5,no trade ,0
13,5.216216216216216,5,2,3,4,5,no trade ,0
14,5.216216216216216,5,0,4,4,5,no trade ,0
15,5.216216216216216,0,5,5,6,5,0.029614181438998955,3474
0,0.0,0,1,4,4,5,no trade ,0
1,15.015015015015015,0,3,2,5,0,0.01738586181717028,800
2,13.813813813813814,0,2,0,4,0,-0.010431517090302166,100
3,13.663663663663664,0,3,1,3,5,no trade ,0
4,13.663663663663664,5,1,2,3,0,0.010431517090302166,600
5,12.762762762762764,0,4,3,5,0,0.02434020654403839,600
6,11.861861861861861,0,3,4,4,5,no trade ,0
7,11.861861861861861,0,3,5,4,0,0.04520324072464272,407
8,11.25075075075075,5,3,6,4,5,no trade ,0
9,11.25075075075075,0,3,4,5,5,no trade ,0
10,11.25075075075075,0,0,4,5,0,0.03824889599777461,200
11,10.95045045045045,5,1,5,6,0,0.04520324072464272,1500
12,8.698198198198199,0,3,5,4,5,no trade ,0
13,8.698198198198199,0,2,5,4,5,no trade ,0
14,8.698198198198199,5,3,3,6,0,0.02434020654403839,897
15,7.351351351351352,5,0,0,4,5,0.005702562676031851,4896
0,0.0,5,0,0,5,0,0.0034781398907864076,1848
1,12.24024024024024,0,0,0,4,3,-0.00674759138812563,2798
2,8.03903903903904,0,2,2,4,5,no trade ,0
3,8.03903903903904,0,1,0,4,3,0.03686828284233592,3322
4,3.051051051051051,0,3,2,5,5,no trade ,0
5,3.051051051051051,0,4,1,4,0,0.03825953879865048,377
6,2.484984984984985,0,4,0,4,5,no trade ,0
7,2.484984984984985,0,5,0,4,5,no trade ,0
